thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
30,170,0.582316,0.924416,0.353542,0.106424,0.0101123,0,1.12894
30,180,0.577803,0.933451,0.353925,0.106492,0.0107362,0,1.13222
30,190,0.582226,0.927968,0.353735,0.106464,0.0107189,0,1.13147
30,200,0.585112,0.93838,0.353554,0.106492,0.00913808,0,1.13849
30,210,0.585022,0.933618,0.35374,0.106544,0.0093177,0,1.1358
30,220,0.585816,0.928578,0.353697,0.106528,0.0090175,0,1.13306
30,230,0.584689,0.92605,0.353603,0.106514,0.00937832,0,1.13101
30,240,0.582651,0.929506,0.353497,0.106497,0.00910939,0,1.13165
30,250,0.583696,0.935967,0.3536,0.106498,0.0088497,0,1.13606
30,260,0.582197,0.923018,0.353968,0.106557,0.0108507,0,1.1287
30,270,0.577274,0.933354,0.354358,0.106646,0.0104209,0,1.13195
30,280,0.580759,0.924414,0.354163,0.106636,0.0107362,0,1.12875
30,290,0.583223,0.935755,0.354127,0.106655,0.0100074,0,1.13662
30,300,0.58317,0.935445,0.354296,0.106674,0.0105532,0,1.13679
30,310,0.58347,0.927594,0.354475,0.106706,0.0103647,0,1.13226
30,320,0.58309,0.925573,0.354445,0.106744,0.0102725,0,1.13077
30,330,0.581761,0.932143,0.354466,0.106726,0.0108819,0,1.13425
30,340,0.584739,0.937045,0.354465,0.106732,0.0105076,0,1.13877
30,350,0.583545,0.927749,0.354462,0.106713,0.0108424,0,1.13266
40,0,0.620817,0.930363,0.537916,0.235575,0.121809,0,1.36089
40,10,0.628911,0.947291,0.537928,0.235572,0.121461,0,1.37572
40,20,0.630156,0.940644,0.537975,0.235634,0.121031,0,1.37229
40,30,0.629531,0.94287,0.537995,0.2356,0.121453,0,1.37348
40,40,0.630615,0.934935,0.537916,0.235627,0.121861,0,1.36956
40,50,0.630097,0.930226,0.53821,0.235617,0.120938,0,1.36606
40,60,0.628325,0.942846,0.53802,0.235639,0.121444,0,1.37276
40,70,0.629393,0.946083,0.538029,0.235554,0.121466,0,1.37533
40,80,0.632738,0.941466,0.53788,0.235485,0.121437,0,1.37445
40,90,0.626314,0.947092,0.537749,0.235432,0.121288,0,1.3738
40,100,0.631278,0.944797,0.53775,0.235412,0.120926,0,1.37519
40,110,0.629972,0.935566,0.537908,0.235455,0.121041,0,1.36903
40,120,0.63052,0.940721,0.537891,0.235386,0.120808,0,1.37229
40,130,0.631615,0.932701,0.5378,0.235433,0.12133,0,1.36839
40,140,0.631851,0.93139,0.537886,0.235321,0.12051,0,1.3673
40,150,0.630048,0.942858,0.537578,0.235337,0.120042,0,1.37269
40,160,0.631034,0.942161,0.537636,0.235323,0.119754,0,1.37273
40,170,0.630834,0.942455,0.537566,0.235271,0.120259,0,1.37301
40,180,0.623717,0.933373,0.537538,0.235246,0.120611,0,1.36346
40,190,0.630362,0.945399,0.53762,0.235287,0.119843,0,1.3743
40,200,0.629998,0.939912,0.53776,0.235358,0.119417,0,1.37065
40,210,0.62902,0.938551,0.537876,0.235349,0.119415,0,1.3693
40,220,0.629762,0.937443,0.537871,0.235428,0.120559,0,1.36974
40,230,0.629621,0.929948,0.537644,0.235341,0.119535,0,1.36444
40,240,0.627948,0.935293,0.537437,0.23538,0.118871,0,1.36619
40,250,0.627508,0.942257,0.537747,0.23539,0.119954,0,1.37086
40,260,0.629054,0.940702,0.537704,0.23541,0.11971,0,1.37071
40,270,0.62308,0.937103,0.537702,0.23541,0.120292,0,1.36529
40,280,0.628103,0.947221,0.537839,0.23544,0.120386,0,1.3745
40,290,0.62714,0.941496,0.537962,0.235507,0.120394,0,1.37058
40,300,0.627166,0.940906,0.538112,0.235528,0.121004,0,1.37066
40,310,0.627543,0.934539,0.538193,0.2356,0.121338,0,1.36732
40,320,0.625512,0.931071,0.538311,0.235575,0.121576,0,1.3642
40,330,0.62547,0.93903,0.538075,0.235623,0.121322,0,1.36871
40,340,0.628115,0.94302,0.538207,0.235613,0.120898,0,1.37252
40,350,0.629366,0.940787,0.53809,0.235612,0.121223,0,1.37205
50,0,0.662288,0.932951,0.614678,0.377582,0.273216,0,1.56578
50,10,0.663216,0.944645,0.615145,0.377678,0.27418,0,1.57416
50,20,0.664811,0.948803,0.615079,0.377691,0.27397,0,1.57747
50,30,0.664059,0.944809,0.61507,0.377704,0.274403,0,1.57486
50,40,0.667532,0.937745,0.615062,0.377715,0.273853,0,1.5724
50,50,0.665325,0.944275,0.615178,0.377687,0.2744,0,1.57534
50,60,0.665262,0.9423,0.61521,0.37768,0.273421,0,1.5736
50,70,0.667036,0.944566,0.61518,0.377642,0.274078,0,1.57635
50,80,0.666751,0.936349,0.615199,0.377569,0.274283,0,1.57134
50,90,0.667648,0.932738,0.614684,0.377458,0.273557,0,1.56901
50,100,0.666697,0.944555,0.615193,0.377503,0.274292,0,1.57621
50,110,0.666623,0.943695,0.615284,0.377496,0.273638,0,1.57533
50,120,0.666901,0.942271,0.61525,0.377472,0.273854,0,1.57474
50,130,0.66861,0.940826,0.615186,0.377463,0.273085,0,1.57444
50,140,0.669364,0.942788,0.615115,0.377378,0.273419,0,1.57618
50,150,0.667139,0.94123,0.615105,0.377393,0.272205,0,1.57324
50,160,0.666997,0.942722,0.61511,0.377382,0.272762,0,1.57436
50,170,0.66684,0.936405,0.61516,0.377317,0.273076,0,1.57065
50,180,0.665586,0.935435,0.614569,0.377251,0.271485,0,1.56811
50,190,0.665762,0.942152,0.615109,0.377373,0.273193,0,1.57351
50,200,0.667431,0.946215,0.615172,0.377414,0.271997,0,1.57634
50,210,0.665091,0.942386,0.615185,0.377462,0.273078,0,1.57326
50,220,0.667185,0.94085,0.615108,0.377471,0.272316,0,1.57314
50,230,0.666815,0.944347,0.615015,0.37746,0.272205,0,1.5749
50,240,0.664692,0.941112,0.614983,0.377465,0.271983,0,1.57155
50,250,0.663793,0.940887,0.615045,0.377489,0.272217,0,1.57105
50,260,0.66422,0.939074,0.615151,0.377475,0.272959,0,1.57067
50,270,0.663913,0.932916,0.614621,0.377424,0.271904,0,1.56593
50,280,0.662285,0.935844,0.615116,0.37753,0.272763,0,1.56747
50,290,0.663936,0.945228,0.615193,0.377559,0.272875,0,1.5742
50,300,0.662237,0.940388,0.615266,0.377643,0.273636,0,1.57076
50,310,0.662988,0.937969,0.615324,0.377643,0.273638,0,1.56979
50,320,0.663185,0.94418,0.615254,0.377645,0.273952,0,1.57378
50,330,0.661168,0.940856,0.615298,0.377677,0.273854,0,1.57055
50,340,0.664995,0.940826,0.615281,0.377675,0.274184,0,1.573
50,350,0.66395,0.935665,0.615306,0.377675,0.27472,0,1.56959
60,0,0.698918,0.931377,0.580297,0.520629,0.45087,0,1.72456
60,10,0.696679,0.930888,0.58043,0.520644,0.450542,0,1.72281
60,20,0.699181,0.931436,0.580505,0.520731,0.450977,0,1.72495
60,30,0.697754,0.924279,0.580397,0.520738,0.45063,0,1.71956
60,40,0.699736,0.93738,0.580477,0.520734,0.450957,0,1.72883
60,50,0.69982,0.931333,0.580428,0.520695,0.450078,0,1.72473
60,60,0.698339,0.937889,0.58071,0.5207,0.450303,0,1.72804
60,70,0.701547,0.934193,0.580708,0.520666,0.450742,0,1.72797
60,80,0.700309,0.941274,0.580576,0.520565,0.451405,0,1.73174
60,90,0.704766,0.934378,0.580405,0.520489,0.450435,0,1.72962
60,100,0.700828,0.924691,0.580615,0.520488,0.450216,0,1.72143
60,110,0.70275,0.927709,0.580824,0.520519,0.45065,0,1.72475
60,120,0.701744,0.924098,0.580873,0.520497,0.450302,0,1.72181
60,130,0.703039,0.93601,0.580777,0.520458,0.449968,0,1.72948
60,140,0.702942,0.930235,0.580719,0.52044,0.449864,0,1.72587
60,150,0.701386,0.935692,0.580848,0.520441,0.44975,0,1.72821
60,160,0.70166,0.934284,0.580907,0.520414,0.449314,0,1.72731
60,170,0.699374,0.939094,0.5807,0.520319,0.449871,0,1.72899
60,180,0.702419,0.933339,0.580529,0.520294,0.449004,0,1.72679
60,190,0.699544,0.927718,0.580713,0.520346,0.449438,0,1.72204
60,200,0.701513,0.926151,0.580954,0.520452,0.449877,0,1.72269
60,210,0.699698,0.923242,0.580845,0.520477,0.449204,0,1.71944
60,220,0.700943,0.937563,0.580681,0.520471,0.449416,0,1.72881
60,230,0.700528,0.929395,0.580632,0.520528,0.449095,0,1.72348
60,240,0.699529,0.935605,0.580713,0.520504,0.44898,0,1.72658
60,250,0.698974,0.929858,0.58066,0.520543,0.449314,0,1.72297
60,260,0.697428,0.937903,0.580555,0.520484,0.450201,0,1.72728
60,270,0.70091,0.937569,0.580413,0.520481,0.449448,0,1.72868
60,280,0.696963,0.933611,0.580575,0.5205,0.449881,0,1.72427
60,290,0.698483,0.926056,0.58069,0.520614,0.449985,0,1.72081
60,300,0.696254,0.921108,0.580703,0.520651,0.449751,0,1.71639
60,310,0.69675,0.930971,0.580703,0.520636,0.450405,0,1.72296
60,320,0.696188,0.930958,0.580621,0.520673,0.449861,0,1.72229
60,330,0.695043,0.939066,0.580768,0.520719,0.450517,0,1.72692
60,340,0.698432,0.930767,0.580772,0.52072,0.450854,0,1.72416
60,350,0.69712,0.938618,0.580578,0.520649,0.451185,0,1.72814
70,0,0.730507,0.934445,0.443295,0.653625,0.63183,0,1.82958
70,10,0.728414,0.952223,0.443169,0.653632,0.630707,0,1.83831
70,20,0.731167,0.958671,0.443472,0.653744,0.632125,0,1.84481
70,30,0.732354,0.951138,0.443473,0.65385,0.63223,0,1.8411
70,40,0.73196,0.944954,0.443668,0.653855,0.633564,0,1.83798
70,50,0.732446,0.947449,0.443735,0.653808,0.634113,0,1.84009
70,60,0.733365,0.951638,0.443746,0.653732,0.632235,0,1.8421
70,70,0.734467,0.95399,0.443703,0.653687,0.631685,0,1.84383
70,80,0.732687,0.953468,0.443464,0.65355,0.631147,0,1.84198
70,90,0.736813,0.9367,0.443503,0.653507,0.631398,0,1.83453
70,100,0.733913,0.952209,0.443682,0.653452,0.630933,0,1.84191
70,110,0.734729,0.957847,0.44393,0.65353,0.631799,0,1.84641
70,120,0.736041,0.95222,0.444122,0.653571,0.632451,0,1.84429
70,130,0.735507,0.944388,0.44428,0.653589,0.633347,0,1.83985
70,140,0.734865,0.946641,0.44432,0.653551,0.632902,0,1.84058
70,150,0.735978,0.949687,0.444227,0.653472,0.631462,0,1.84221
70,160,0.733605,0.953849,0.444202,0.653419,0.630583,0,1.84276
70,170,0.732556,0.951581,0.443857,0.653296,0.629934,0,1.84019
70,180,0.735944,0.933226,0.443847,0.653327,0.630187,0,1.83136
70,190,0.733129,0.950625,0.443865,0.653312,0.629723,0,1.83986
70,200,0.733606,0.955987,0.444022,0.653479,0.630695,0,1.84404
70,210,0.735007,0.950497,0.444169,0.653534,0.631022,0,1.84186
70,220,0.733773,0.943209,0.444177,0.653596,0.631914,0,1.83727
70,230,0.733178,0.946752,0.444148,0.653633,0.632462,0,1.83934
70,240,0.734027,0.950281,0.444012,0.653594,0.631243,0,1.84121
70,250,0.731852,0.9565,0.443804,0.653565,0.630698,0,1.84322
70,260,0.730473,0.952504,0.443558,0.653454,0.630156,0,1.83953
70,270,0.732418,0.93783,0.443507,0.653477,0.630511,0,1.83207
70,280,0.729,0.94941,0.443476,0.653511,0.630604,0,1.83702
70,290,0.729451,0.957552,0.443793,0.653634,0.631465,0,1.84286
70,300,0.730017,0.949781,0.443911,0.653725,0.63157,0,1.83869
70,310,0.728755,0.944843,0.444056,0.653753,0.633565,0,1.83615
70,320,0.728107,0.947601,0.443997,0.65378,0.634003,0,1.83764
70,330,0.728893,0.951334,0.443969,0.653755,0.633002,0,1.83977
70,340,0.72943,0.959073,0.443631,0.65375,0.632015,0,1.84403
70,350,0.72946,0.956103,0.443411,0.653625,0.632138,0,1.84217
80,0,0.758861,0.90651,0.227061,0.770304,0.809468,0,1.86608
80,10,0.758526,0.903592,0.227049,0.770286,0.809657,0,1.86422
80,20,0.758579,0.90283,0.22702,0.770329,0.809766,0,1.86386
80,30,0.762726,0.905812,0.227148,0.770404,0.810426,0,1.86859
80,40,0.76219,0.897796,0.227105,0.770397,0.809654,0,1.86301
80,50,0.76265,0.902013,0.227158,0.770367,0.810098,0,1.86608
80,60,0.763673,0.903924,0.2274,0.770304,0.809658,0,1.86769
80,70,0.763106,0.901536,0.227595,0.770228,0.809767,0,1.86605
80,80,0.763245,0.904573,0.227501,0.770225,0.808997,0,1.86748
80,90,0.764351,0.906297,0.2276,0.770183,0.809593,0,1.86954
80,100,0.76351,0.905151,0.227601,0.770147,0.809326,0,1.86819
80,110,0.76408,0.902003,0.227913,0.770092,0.809216,0,1.86671
80,120,0.766249,0.902492,0.228036,0.77011,0.809768,0,1.86868
80,130,0.765769,0.897667,0.227926,0.77015,0.809546,0,1.86533
80,140,0.765865,0.896409,0.228006,0.77012,0.809548,0,1.86467
80,150,0.765728,0.898347,0.228072,0.770104,0.809547,0,1.86577
80,160,0.76263,0.898232,0.228237,0.77,0.808446,0,1.86328
80,170,0.762246,0.89931,0.227916,0.770027,0.807896,0,1.86324
80,180,0.762536,0.902531,0.228141,0.770012,0.808501,0,1.86579
80,190,0.762335,0.902022,0.227964,0.770019,0.807567,0,1.86476
80,200,0.762824,0.900704,0.228043,0.770034,0.807677,0,1.86437
80,210,0.765074,0.901046,0.228046,0.77008,0.808779,0,1.86655
80,220,0.763692,0.898015,0.227812,0.770135,0.808886,0,1.86387
80,230,0.763821,0.900407,0.227723,0.770186,0.808228,0,1.865
80,240,0.763294,0.897566,0.227691,0.77022,0.808885,0,1.86334
80,250,0.760914,0.900272,0.227734,0.770138,0.808117,0,1.8631
80,260,0.75981,0.898118,0.227539,0.77012,0.807678,0,1.8608
