thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
30,150,0.453177,0.993822,0.37978,0.123703,0.00348448,0,1.10949
30,160,0.455978,0.997387,0.404909,0.121513,0.00203591,0,1.1242
30,170,0.456484,1,0.422478,0.120179,0.00249617,0,1.13457
30,180,0.457768,1,0.428778,0.11967,0.00318113,0,1.13867
30,190,0.457001,1,0.422441,0.120032,0.00251438,0,1.13482
30,200,0.454511,1,0.405084,0.121247,0.00199201,0,1.12484
30,210,0.454091,0.989585,0.380082,0.123375,0.00336674,0,1.10745
30,220,0.451351,0.984275,0.352931,0.126444,0.00407199,0,1.09066
30,230,0.448344,0.979662,0.328515,0.130471,0.000779155,0,1.07368
30,240,0.449986,0.974418,0.308803,0.135241,0,0,1.06314
30,250,0.448234,0.973354,0.294461,0.140616,0,0,1.05643
30,260,0.44416,0.977398,0.285306,0.146245,0,0,1.05409
30,270,0.437144,0.970332,0.280693,0.151868,0,0,1.04558
30,280,0.431625,0.958253,0.280191,0.157435,0.00465389,0,1.03956
30,290,0.428617,0.946698,0.281789,0.162668,0.0114066,0,1.03742
30,300,0.426797,0.955809,0.282704,0.167377,0.00924457,0,1.04295
30,310,0.427395,0.968535,0.281234,0.171467,0.00878235,0,1.05159
30,320,0.425414,0.974825,0.277204,0.174829,0.0124159,0,1.05551
30,330,0.422013,0.977699,0.271784,0.177499,0.0193284,0,1.05735
30,340,0.417967,0.973006,0.268163,0.179531,0.0288372,0,1.05634
30,350,0.41517,0.969069,0.266996,0.180908,0.0378372,0,1.05721
40,0,0.42599,0.981809,0.232049,0.100152,0.0228648,0,1.01334
40,10,0.43044,0.980118,0.22594,0.0991425,0.0178316,0,1.00877
40,20,0.442612,0.976445,0.209606,0.0959206,0.00593937,0,0.997872
40,30,0.45578,0.975554,0.18372,0.090582,0,0,0.986893
40,40,0.466318,0.97823,0.151477,0.0833446,0,0,0.975805
40,50,0.472431,0.980203,0.131351,0.0762953,0,0,0.967774
40,60,0.478241,0.981059,0.128582,0.0702565,0,0,0.967974
40,70,0.480695,0.978745,0.130948,0.0642789,0,0,0.96685
40,80,0.481093,0.96884,0.130075,0.0573325,0,0,0.95793
40,90,0.486217,0.959367,0.127058,0.049399,0,0,0.950638
40,100,0.491167,0.949955,0.128014,0.0409853,0,0,0.945074
40,110,0.492002,0.960144,0.138721,0.032867,0,0,0.953795
40,120,0.492829,0.965803,0.158634,0.0250708,0,0,0.964525
40,130,0.49391,0.961451,0.186077,0.0179335,0,0,0.973428
40,140,0.493735,0.95817,0.216663,0.0113791,0,0,0.984026
40,150,0.496519,0.974456,0.245741,0.00574698,0,0,1.00775
40,160,0.502792,0.972333,0.268723,0.00113472,0,0,1.01989
40,170,0.505368,0.967171,0.282883,0.00187047,0,0,1.02571
40,180,0.50145,0.965481,0.288926,0.00284629,0,0,1.02576
40,190,0.50245,0.971771,0.283199,0.00193005,0,0,1.0269
40,200,0.500745,0.978553,0.268659,0.00085924,0,0,1.02225
40,210,0.4949,0.984943,0.246286,0.00530138,0,0,1.01317
40,220,0.492129,0.965541,0.2165,0.0107634,0,0,0.987157
