thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
30,110,0.312559,1,0.538992,0.214033,0.247501,0,1.27877
30,120,0.270192,1,0.577513,0.204533,0.236113,0,1.26255
30,130,0.212964,1,0.625629,0.202321,0.235398,0,1.25099
30,140,0.189659,1,0.684546,0.208157,0.238455,0,1.27048
30,150,0.181334,1,0.757287,0.22363,0.243168,0,1.31064
30,160,0.198344,1,0.854184,0.252328,0.250183,0,1.38463
30,170,0.359405,1,1,0.31189,0.26363,0,1.5854
30,180,0.419522,1,1,0.355662,0.598751,0,1.82329
30,190,0.366613,1,1,0.312114,0.265043,0,1.59059
30,200,0.244479,1,0.855867,0.252936,0.251764,0,1.41426
30,210,0.245026,1,0.75929,0.224457,0.244753,0,1.35106
30,220,0.256951,1,0.686683,0.209198,0.240049,0,1.31322
30,230,0.279496,1,0.627823,0.203487,0.237021,0,1.29337
30,240,0.334845,1,0.579562,0.205839,0.237628,0,1.30372
30,250,0.376702,1,0.540844,0.215425,0.24899,0,1.31956
30,260,0.378899,1,0.510963,0.23172,0.247227,0,1.31148
30,270,0.344465,1,0.489091,0.254317,0.236928,0,1.28326
30,280,0.301151,1,0.474032,0.282853,0.23562,0,1.26044
30,290,0.289201,1,0.464056,0.317001,0.23687,0,1.26263
30,300,0.25071,1,0.212129,0.304329,0.0144275,0,0.986158
30,310,0.262594,1,0.00194528,0.284311,0.00970748,0,0.877592
30,320,0.278609,1,0.0126834,0.291911,0.0228431,0,0.902835
30,330,0.218698,1,0.0611758,0.310343,0.0167307,0,0.895146
30,340,0.243748,1,0.169918,0.333593,0.0302462,0,0.98128
30,350,0.322568,1,0.267729,0.35464,0.0520547,0,1.09789
40,0,0.423845,1,0.741556,0.472001,0.567097,0,1.72579
40,10,0.402462,1,0.740703,0.476271,0.563058,0,1.71202
40,20,0.360861,1,0.737445,0.489728,0.562398,0,1.69045
40,30,0.343263,1,0.734049,0.513857,0.563162,0,1.68826
40,40,0.347893,1,0.738385,0.553379,0.564622,0,1.70982
40,50,0.525803,1,0.623326,0.546163,0.108762,0,1.50543
40,60,0.288451,1,0.569505,0.460298,0.250856,0,1.37991
40,70,0.242752,1,0.512491,0.386189,0.243315,0,1.2902
40,80,0.22997,1,0.483076,0.330323,0.238385,0,1.24276
40,90,0.238832,1,0.472713,0.286942,0.234889,0,1.22362
40,100,0.29305,1,0.479742,0.254052,0.236509,0,1.2474
40,110,0.315413,1,0.504267,0.231006,0.250455,0,1.27153
40,120,0.282861,1,0.547113,0.217744,0.236526,0,1.26046
40,130,0.211398,1,0.609445,0.214986,0.234008,0,1.24626
40,140,0.186532,1,0.694957,0.224565,0.237655,0,1.27993
40,150,0.195698,1,0.81832,0.251711,0.245259,0,1.36216
40,160,0.419054,1,1,0.335823,0.275221,0,1.63713
40,170,0.418597,1,1,0.347763,0.615674,0,1.82888
40,180,0.418725,1,1,0.34462,0.629456,0,1.83528
40,190,0.418664,1,1,0.347787,0.615666,0,1.82893
40,200,0.422625,1,1,0.335892,0.276723,0,1.64013
40,210,0.243514,1,0.819911,0.252349,0.246714,0,1.3927
40,220,0.251822,1,0.696973,0.225449,0.239196,0,1.32132
40,230,0.276976,1,0.611584,0.21606,0.235591,0,1.28798
40,240,0.346378,1,0.549213,0.218969,0.238075,0,1.30096
40,250,0.379265,1,0.506163,0.232335,0.251909,0,1.31212
40,260,0.353353,1,0.481121,0.255516,0.238076,0,1.28572
40,270,0.296034,1,0.473507,0.288475,0.236473,0,1.25982
40,280,0.283739,1,0.48317,0.331893,0.239949,0,1.27656
40,290,0.292221,1,0.511605,0.387834,0.244793,0,1.3209
40,300,0.331999,1,0.567536,0.461934,0.252292,0,1.4065
40,310,0.563158,1,0.619554,0.547484,0.109426,0,1.52685
40,320,0.36528,1,0.734778,0.554317,0.564579,0,1.7188
40,330,0.352939,1,0.731221,0.514511,0.563145,0,1.69291
40,340,0.360955,1,0.73545,0.490169,0.562395,0,1.68968
40,350,0.402527,1,0.739689,0.476482,0.563099,0,1.71166
50,0,0.423955,1,0.733452,0.474408,0.567122,0,1.72278
50,10,0.394128,1,0.734069,0.479887,0.562338,0,1.70475
50,20,0.352716,1,0.736177,0.497365,0.562818,0,1.68821
50,30,0.342655,1,0.745659,0.530676,0.564512,0,1.70117
50,40,0.432233,1,0.798128,0.599029,0.569562,0,1.81127
50,50,0.586272,1,0.919831,0.663779,0.927404,0,2.18726
50,60,0.585939,1,0.918672,0.663982,0.926725,0,2.18619
50,70,0.390436,1,0.663902,0.528651,0.266665,0,1.52434
50,80,0.254677,1,0.512055,0.414163,0.244491,0,1.30897
50,90,0.232678,1,0.448062,0.345893,0.237072,0,1.23238
50,100,0.256712,1,0.425918,0.298892,0.233607,0,1.21503
50,110,0.321005,1,0.43738,0.267438,0.246149,0,1.25365
50,120,0.297579,1,0.480867,0.249901,0.238294,0,1.25
50,130,0.212648,1,0.557836,0.246981,0.233479,0,1.23371
50,140,0.190727,1,0.678733,0.262589,0.237106,0,1.28925
50,150,0.305354,1,0.912369,0.318797,0.248104,0,1.50337
50,160,0.421352,1,1,0.36295,0.595217,0,1.82536
50,170,0.419801,1,1,0.351796,0.60648,0,1.82616
50,180,0.419201,1,1,0.348081,0.615995,0,1.82955
50,190,0.419104,1,1,0.351801,0.606447,0,1.82573
50,200,0.42001,1,1,0.362999,0.595219,0,1.82458
50,210,0.316658,1,0.912983,0.319133,0.249429,0,1.51133
50,220,0.249631,1,0.680481,0.263328,0.238581,0,1.32657
50,230,0.276875,1,0.559993,0.24792,0.235013,0,1.27455
50,240,0.360199,1,0.482957,0.251032,0.239848,0,1.28993
50,250,0.382875,1,0.439269,0.268685,0.247561,0,1.29299
50,260,0.316752,1,0.427297,0.300251,0.235163,0,1.25314
50,270,0.288184,1,0.448632,0.347321,0.238637,0,1.2674
50,280,0.302415,1,0.511613,0.415626,0.246005,0,1.33881
50,290,0.431289,1,0.661927,0.530147,0.268138,0,1.54927
50,300,0.625237,1,0.915441,0.665566,0.928278,0,2.20964
50,310,0.62523,1,0.916445,0.665392,0.928855,0,2.21039
50,320,0.459955,1,0.794494,0.60023,0.569503,0,1.82654
50,330,0.356215,1,0.742634,0.531462,0.564493,0,1.7081
50,340,0.355037,1,0.734155,0.497831,0.562813,0,1.68878
50,350,0.393664,1,0.733068,0.480107,0.562366,0,1.70408
60,0,0.42693,1,0.684348,0.489388,0.566918,0,1.70589
60,10,0.386961,1,0.687085,0.496244,0.562056,0,1.68335
60,20,0.3484,1,0.697115,0.518756,0.562842,0,1.67466
60,30,0.357591,1,0.731077,0.566673,0.565202,0,1.71762
60,40,0.587006,1,0.899625,0.667358,0.924859,0,2.17763
60,50,0.586296,1,0.928873,0.662144,0.929663,0,2.19239
60,60,0.586008,1,0.927673,0.662358,0.929237,0,2.19147
60,70,0.586162,1,0.895964,0.66801,0.924639,0,2.17543
60,80,0.517328,1,0.684964,0.594022,0.27988,0,1.64442
60,90,0.260761,1,0.43332,0.439384,0.243489,0,1.28279
60,100,0.244296,1,0.352365,0.367621,0.236493,0,1.19988
60,110,0.314798,1,0.337945,0.324312,0.239825,0,1.21948
60,120,0.313058,1,0.377199,0.301474,0.242179,0,1.23022
60,130,0.217845,1,0.471348,0.298956,0.233943,0,1.21463
60,140,0.219254,1,0.649152,0.326657,0.237881,0,1.31763
60,150,0.426441,1,1,0.403967,0.589009,0,1.84141
60,160,0.423819,1,1,0.382691,0.591258,0,1.83256
60,170,0.422058,1,1,0.369928,0.593532,0,1.82765
60,180,0.421219,1,1,0.365681,0.594872,0,1.82618
60,190,0.421392,1,1,0.369948,0.593516,0,1.82725
60,200,0.422495,1,1,0.38273,0.591244,0,1.83177
60,210,0.424674,1,1,0.404004,0.589001,0,1.84036
60,220,0.255482,1,0.650483,0.327147,0.239291,0,1.341
60,230,0.278843,1,0.473318,0.299752,0.235418,0,1.25335
60,240,0.376576,1,0.379349,0.302439,0.243645,0,1.2706
60,250,0.37547,1,0.339857,0.325426,0.241278,0,1.25808
60,260,0.302176,1,0.353663,0.368837,0.238042,0,1.2366
60,270,0.309638,1,0.433584,0.440675,0.244988,0,1.31359
60,280,0.558499,1,0.683294,0.595257,0.281726,0,1.6698
60,290,0.626086,1,0.893578,0.669435,0.926246,0,2.19965
60,300,0.625185,1,0.925034,0.663843,0.930872,0,2.21514
60,310,0.625265,1,0.926015,0.663669,0.931239,0,2.21582
60,320,0.625834,1,0.896609,0.668897,0.926433,0,2.2009
60,330,0.374451,1,0.728129,0.567576,0.565197,0,1.72662
60,340,0.354621,1,0.694995,0.519307,0.562837,0,1.67755
60,350,0.385183,1,0.68606,0.496493,0.562059,0,1.68187
70,0,0.430703,1,0.593819,0.517012,0.567306,0,1.67415
70,10,0.38113,1,0.599617,0.52563,0.562249,0,1.64798
70,20,0.35217,1,0.622302,0.555482,0.563292,0,1.65446
70,30,0.536648,1,0.733791,0.644221,0.569955,0,1.86005
70,40,0.587771,1,0.864659,0.673562,0.923826,0,2.16252
70,50,0.587001,1,0.89655,0.667888,0.92488,0,2.17632
70,60,0.586564,1,0.895377,0.6681,0.924768,0,2.17549
70,70,0.586633,1,0.860867,0.674243,0.923765,0,2.16018
70,80,0.587067,1,0.792942,0.686304,0.923038,0,2.1309
70,90,0.556447,1,0.574256,0.638939,0.28946,0,1.63577
70,100,0.267781,1,0.27498,0.470063,0.243414,0,1.22006
70,110,0.298717,1,0.2057,0.404924,0.237667,0,1.17477
70,120,0.332019,1,0.232324,0.374096,0.248094,0,1.20146
70,130,0.228553,1,0.35045,0.373376,0.235488,0,1.19123
70,140,0.432123,1,0.708119,0.448071,0.252982,0,1.5317
70,150,0.432905,1,0.900158,0.439982,0.588249,0,1.80935
70,160,0.427898,1,0.979732,0.416158,0.588944,0,1.83699
70,170,0.425976,1,1,0.401963,0.589275,0,1.84047
70,180,0.425121,1,1,0.397208,0.589705,0,1.83829
70,190,0.425304,1,1,0.401938,0.589241,0,1.84004
70,200,0.426887,1,0.979618,0.416202,0.588924,0,1.83633
70,210,0.430224,1,0.900047,0.440027,0.588241,0,1.8077
70,220,0.431914,1,0.708119,0.448167,0.254048,0,1.5322
70,230,0.282772,1,0.352121,0.373981,0.236904,0,1.22561
70,240,0.394063,1,0.234359,0.374926,0.249518,0,1.24082
70,250,0.358343,1,0.207574,0.405878,0.239145,0,1.21267
70,260,0.319758,1,0.276047,0.471118,0.244897,0,1.25302
70,270,0.600356,1,0.573259,0.639933,0.291334,0,1.66305
70,280,0.628986,1,0.791375,0.687533,0.924655,0,2.15665
70,290,0.62698,1,0.859055,0.675547,0.925384,0,2.1849
70,300,0.62623,1,0.893306,0.669466,0.926431,0,2.19971
70,310,0.626203,1,0.894288,0.669289,0.92652,0,2.20017
70,320,0.626899,1,0.862119,0.674998,0.925427,0,2.18618
70,330,0.571804,1,0.730999,0.64541,0.570058,0,1.88028
70,340,0.361375,1,0.620231,0.556098,0.563299,0,1.65919
70,350,0.380533,1,0.598626,0.525898,0.562241,0,1.64722
80,0,0.435519,1,0.459791,0.557835,0.568175,0,1.62684
80,10,0.380976,1,0.470333,0.569135,0.562744,0,1.60092
80,20,0.371194,1,0.518676,0.61291,0.564512,0,1.6377
80,30,0.5908,1,0.719512,0.699279,0.922852,0,2.10152
80,40,0.589614,1,0.789596,0.686874,0.923159,0,2.13105
80,50,0.588162,1,0.823702,0.680827,0.923284,0,2.14489
